_id,user_id,notification_id,variant,notificationShownAt,position,isInterested,createdAt,updatedAt,__v
66d6edb47e1c59901abecb67,1,notification1,info,2024-09-03 11:06:28.831,"{'vertical': 'bottom', 'horizontal': 'left'}",False,2024-09-03 11:06:28.836,2024-09-03 11:06:28.836,0
66d6ede27e1c59901abecb69,1,notification2,reportComplete,2024-09-03 11:07:14.757,"{'vertical': 'bottom', 'horizontal': 'center'}",False,2024-09-03 11:07:14.758,2024-09-03 11:07:14.758,0
66d6ee187e1c59901abecb6b,1,notification3,info,2024-09-03 11:08:08.652,"{'vertical': 'bottom', 'horizontal': 'right'}",True,2024-09-03 11:08:08.655,2024-09-03 11:08:08.655,0
66d6ee427e1c59901abecb6d,1,notification4,reportComplete,2024-09-03 11:08:50.418,"{'vertical': 'bottom', 'horizontal': 'left'}",True,2024-09-03 11:08:50.418,2024-09-03 11:08:50.418,0
66d6ee5f7e1c59901abecb6f,1,notification5,info,2024-09-03 11:09:19.346,"{'vertical': 'bottom', 'horizontal': 'center'}",True,2024-09-03 11:09:19.350,2024-09-03 11:09:19.350,0
66d6ee7e7e1c59901abecb71,1,notification6,reportComplete,2024-09-03 11:09:50.521,"{'vertical': 'bottom', 'horizontal': 'right'}",False,2024-09-03 11:09:50.522,2024-09-03 11:09:50.522,0
66d6f6e4c12a568aa119ed1b,2,notification3,info,2024-09-03 11:45:40.573,"{'vertical': 'bottom', 'horizontal': 'right'}",True,2024-09-03 11:45:40.576,2024-09-03 11:45:40.576,0
66d6f712c12a568aa119ed1d,2,notification4,reportComplete,2024-09-03 11:46:26.643,"{'vertical': 'bottom', 'horizontal': 'left'}",False,2024-09-03 11:46:26.643,2024-09-03 11:46:26.643,0
66d6f757c12a568aa119ed1f,2,notification5,info,2024-09-03 11:47:35.106,"{'vertical': 'bottom', 'horizontal': 'center'}",False,2024-09-03 11:47:35.107,2024-09-03 11:47:35.107,0
66d6f774c12a568aa119ed21,2,notification6,reportComplete,2024-09-03 11:48:04.778,"{'vertical': 'bottom', 'horizontal': 'right'}",True,2024-09-03 11:48:04.783,2024-09-03 11:48:04.783,0
66d6f78fc12a568aa119ed23,2,notification1,info,2024-09-03 11:48:31.566,"{'vertical': 'bottom', 'horizontal': 'left'}",True,2024-09-03 11:48:31.570,2024-09-03 11:48:31.570,0
66d6f7adc12a568aa119ed25,2,notification2,reportComplete,2024-09-03 11:49:01.193,"{'vertical': 'bottom', 'horizontal': 'center'}",True,2024-09-03 11:49:01.196,2024-09-03 11:49:01.196,0
66d6fc62c12a568aa119ed30,3,notification5,info,2024-09-03 12:09:06.132,"{'vertical': 'bottom', 'horizontal': 'center'}",True,2024-09-03 12:09:06.136,2024-09-03 12:09:06.136,0
66d6fc8cc12a568aa119ed32,3,notification6,reportComplete,2024-09-03 12:09:48.086,"{'vertical': 'bottom', 'horizontal': 'right'}",True,2024-09-03 12:09:48.092,2024-09-03 12:09:48.092,0
66d6fcc7c12a568aa119ed34,3,notification1,info,2024-09-03 12:10:47.592,"{'vertical': 'bottom', 'horizontal': 'left'}",True,2024-09-03 12:10:47.593,2024-09-03 12:10:47.593,0
66d6fcf3c12a568aa119ed36,3,notification2,reportComplete,2024-09-03 12:11:31.238,"{'vertical': 'bottom', 'horizontal': 'center'}",False,2024-09-03 12:11:31.239,2024-09-03 12:11:31.239,0
66d6fd10c12a568aa119ed38,3,notification3,info,2024-09-03 12:12:00.514,"{'vertical': 'bottom', 'horizontal': 'right'}",True,2024-09-03 12:12:00.516,2024-09-03 12:12:00.516,0
66d6fd43c12a568aa119ed3a,3,notification4,reportComplete,2024-09-03 12:12:51.954,"{'vertical': 'bottom', 'horizontal': 'left'}",False,2024-09-03 12:12:51.954,2024-09-03 12:12:51.954,0
66eeabdd79ba420d54ae4662,4,notification3,info,2024-09-21 11:19:57.413,"{'vertical': 'bottom', 'horizontal': 'right'}",False,2024-09-21 11:19:57.416,2024-09-21 11:19:57.416,0
66eeac1379ba420d54ae4664,4,notification4,reportComplete,2024-09-21 11:20:51.991,"{'vertical': 'bottom', 'horizontal': 'left'}",False,2024-09-21 11:20:51.992,2024-09-21 11:20:51.992,0
66eeac4379ba420d54ae4666,4,notification5,info,2024-09-21 11:21:39.876,"{'vertical': 'bottom', 'horizontal': 'center'}",True,2024-09-21 11:21:39.877,2024-09-21 11:21:39.877,0
66eeac7c79ba420d54ae4668,4,notification6,reportComplete,2024-09-21 11:22:36.838,"{'vertical': 'bottom', 'horizontal': 'right'}",False,2024-09-21 11:22:36.838,2024-09-21 11:22:36.838,0
66eeac9079ba420d54ae466a,4,notification1,info,2024-09-21 11:22:56.652,"{'vertical': 'bottom', 'horizontal': 'left'}",True,2024-09-21 11:22:56.654,2024-09-21 11:22:56.654,0
66eeacaf79ba420d54ae466c,4,notification2,reportComplete,2024-09-21 11:23:27.664,"{'vertical': 'bottom', 'horizontal': 'center'}",False,2024-09-21 11:23:27.666,2024-09-21 11:23:27.666,0
66eeb05579ba420d54ae4676,5,notification5,info,2024-09-21 11:39:01.254,"{'vertical': 'bottom', 'horizontal': 'center'}",False,2024-09-21 11:39:01.254,2024-09-21 11:39:01.254,0
66eeb07e79ba420d54ae4678,5,notification6,reportComplete,2024-09-21 11:39:42.328,"{'vertical': 'bottom', 'horizontal': 'right'}",True,2024-09-21 11:39:42.333,2024-09-21 11:39:42.333,0
66eeb0b379ba420d54ae467a,5,notification1,info,2024-09-21 11:40:35.333,"{'vertical': 'bottom', 'horizontal': 'left'}",False,2024-09-21 11:40:35.335,2024-09-21 11:40:35.335,0
66eeb0e279ba420d54ae467c,5,notification2,reportComplete,2024-09-21 11:41:22.334,"{'vertical': 'bottom', 'horizontal': 'center'}",False,2024-09-21 11:41:22.334,2024-09-21 11:41:22.334,0
66eeb0ff79ba420d54ae467e,5,notification3,info,2024-09-21 11:41:51.207,"{'vertical': 'bottom', 'horizontal': 'right'}",False,2024-09-21 11:41:51.208,2024-09-21 11:41:51.208,0
66eeb11c79ba420d54ae4680,5,notification4,reportComplete,2024-09-21 11:42:20.667,"{'vertical': 'bottom', 'horizontal': 'left'}",True,2024-09-21 11:42:20.672,2024-09-21 11:42:20.672,0
66eedcbf9c29d22e44301125,6,notification1,info,2024-09-21 14:48:31.396,"{'vertical': 'bottom', 'horizontal': 'left'}",True,2024-09-21 14:48:31.399,2024-09-21 14:48:31.399,0
66eedceb9c29d22e44301127,6,notification2,reportComplete,2024-09-21 14:49:15.715,"{'vertical': 'bottom', 'horizontal': 'center'}",False,2024-09-21 14:49:15.716,2024-09-21 14:49:15.716,0
66eedd219c29d22e44301129,6,notification3,info,2024-09-21 14:50:09.811,"{'vertical': 'bottom', 'horizontal': 'right'}",True,2024-09-21 14:50:09.815,2024-09-21 14:50:09.815,0
66eedd4e9c29d22e4430112b,6,notification4,reportComplete,2024-09-21 14:50:54.372,"{'vertical': 'bottom', 'horizontal': 'left'}",True,2024-09-21 14:50:54.376,2024-09-21 14:50:54.376,0
66eedd719c29d22e4430112d,6,notification5,info,2024-09-21 14:51:29.626,"{'vertical': 'bottom', 'horizontal': 'center'}",False,2024-09-21 14:51:29.628,2024-09-21 14:51:29.628,0
66eedd8c9c29d22e4430112f,6,notification6,reportComplete,2024-09-21 14:51:56.485,"{'vertical': 'bottom', 'horizontal': 'right'}",True,2024-09-21 14:51:56.491,2024-09-21 14:51:56.491,0
