,VAR,LABEL,RESPONSE_1,RESPONSE_2,RESPONSE_3,RESPONSE_4,RESPONSE_5,RESPONSE_6
0,PS01,Receiving Notifications,['Very helpful [5]'],['Mostly distracted [2]'],['Neutral [3]'],['Mostly helpful [4]'],['Mostly helpful [4]'],['Neutral [3]']
1,PS02_01,Situation of receiving notifications: [01],['messages notification is the most useful for me'],['alarm clock'],[nan],"['Benachrichtigunen von Nachrichten-Apps (Beispielsweise ""Kicker"": Eine App, die Artikel und Ergebnisse von Fussball beinhaltet)']","[""Notifications about pending minor Software Updates on my phone. These can't be dismissed and staz around until I decide to update""]",['system notification']
2,PS04_01,Notification management: I turn off notifications for most apps,[5],[5],[4],[5],[2],[7]
3,PS04_02,Notification management: I customize notification settings for different apps,[7],[5],[2],[2],[7],[6]
4,PS04_03,"Notification management: I use ""Do Not Disturb"" mode during specific times",[6],[7],[7],[7],[1],[6]
5,PS04_04,Notification management: I manage notifications as they come in,[5],[2],[4],[5],[2],[6]
6,PS04_05,Notification management: I manually check and clear notifications,[5],[6],[1],[2],[7],[5]
7,PS04_06,Notification management: I don’t manage notifications actively,[4],[4],[4],[6],[2],[1]
8,PS06_01, Handling Notifications: I turn off notifications for certain apps,[5],[7],[7],[7],[7],[7]
9,PS06_02, Handling Notifications: I set specific times to check notifications,[1],[1],[1],[1],[2],[6]
10,PS06_03, Handling Notifications: I use apps to manage and filter notifications,[1],[1],[1],[1],[5],[1]
11,PS06_04, Handling Notifications: I take breaks from my devices,[4],[3],[4],[2],[2],[1]
12,PS06_05, Handling Notifications: I don’t have a specific coping strategy,[5],[6],[7],[5],[6],[1]
13,PS07,Effectiveness of handling noti,['[5]'],['[4]'],['[3]'],['[5]'],['[5]'],['[6]']
14,PS09,Context Notification: Residual option (negative) or number of selected options,[1],[1],[1],[1],[1],[1]
15,PS09_01,Context Notification: During meetings,['Not checked'],['Not checked'],['Not checked'],['Not checked'],['Not checked'],['Not checked']
16,PS09_02,Context Notification: While driving,['Not checked'],['Not checked'],['Not checked'],['Not checked'],['Not checked'],['Not checked']
17,PS09_03,Context Notification: During meals,['Not checked'],['Not checked'],['Not checked'],['Not checked'],['Not checked'],['Not checked']
18,PS09_04,Context Notification: While working on important tasks,['Not checked'],['Not checked'],['Not checked'],['Not checked'],['Not checked'],['Not checked']
19,PS09_05,Context Notification: I don’t have specific preferences,['Checked'],['Not checked'],['Checked'],['Checked'],['Checked'],['Checked']
20,PS09_06,Context Notification: Other (please specify),['Not checked'],['Checked'],['Not checked'],['Not checked'],['Not checked'],['Not checked']
21,PS09_06a,Context Notification: Other (please specify) (free text),[nan],['when im not busy e.g lying in bed'],[nan],[nan],[nan],[nan]
22,PS10,Importance in Work Context,['[5]'],['[5]'],['Extremely important [7]'],['Extremely important [7]'],['[6]'],['[6]']
23,PS11,Multiple Platforms,['Yes'],['Yes'],['Yes'],['Yes'],['Yes'],['Neutral']
24,PS12,Usage TableTops,['Yes and it was a positive experience'],['No I have never used one'],['Yes and it was a positive experience'],['No I have never used one'],['Yes and it was a positive experience'],['No I have never used one']
25,PS17_01,Others_Usage TableTop:: Other (please specify),[nan],[nan],[nan],"['Nur einen interaktiven Tisch, auf dem man Brettspiele spielen konnte']",[nan],[nan]
